All of the combinations that score the minimum score for 2 lines: 29 points
There are 256 ways of doing it out of 14400, that's 1.778%
(0, 2, 1, 4, 3)
(0, 2, 1, 4, 3)

(0, 2, 1, 4, 3)
(0, 3, 1, 4, 2)

(0, 2, 1, 4, 3)
(0, 3, 2, 4, 1)

(0, 2, 1, 4, 3)
(0, 4, 1, 3, 2)

(0, 2, 1, 4, 3)
(0, 4, 2, 3, 1)

(0, 2, 1, 4, 3)
(1, 2, 0, 4, 3)

(0, 2, 1, 4, 3)
(1, 3, 0, 4, 2)

(0, 2, 1, 4, 3)
(1, 3, 2, 4, 0)

(0, 2, 1, 4, 3)
(1, 4, 0, 3, 2)

(0, 2, 1, 4, 3)
(1, 4, 2, 3, 0)

(0, 2, 1, 4, 3)
(2, 3, 0, 4, 1)

(0, 2, 1, 4, 3)
(2, 3, 1, 4, 0)

(0, 2, 1, 4, 3)
(2, 4, 0, 3, 1)

(0, 2, 1, 4, 3)
(2, 4, 1, 3, 0)

(0, 2, 1, 4, 3)
(3, 4, 0, 2, 1)

(0, 2, 1, 4, 3)
(3, 4, 1, 2, 0)

(0, 3, 1, 4, 2)
(0, 2, 1, 4, 3)

(0, 3, 1, 4, 2)
(0, 3, 1, 4, 2)

(0, 3, 1, 4, 2)
(0, 3, 2, 4, 1)

(0, 3, 1, 4, 2)
(0, 4, 1, 3, 2)

(0, 3, 1, 4, 2)
(0, 4, 2, 3, 1)

(0, 3, 1, 4, 2)
(1, 2, 0, 4, 3)

(0, 3, 1, 4, 2)
(1, 3, 0, 4, 2)

(0, 3, 1, 4, 2)
(1, 3, 2, 4, 0)

(0, 3, 1, 4, 2)
(1, 4, 0, 3, 2)

(0, 3, 1, 4, 2)
(1, 4, 2, 3, 0)

(0, 3, 1, 4, 2)
(2, 3, 0, 4, 1)

(0, 3, 1, 4, 2)
(2, 3, 1, 4, 0)

(0, 3, 1, 4, 2)
(2, 4, 0, 3, 1)

(0, 3, 1, 4, 2)
(2, 4, 1, 3, 0)

(0, 3, 1, 4, 2)
(3, 4, 0, 2, 1)

(0, 3, 1, 4, 2)
(3, 4, 1, 2, 0)

(0, 3, 2, 4, 1)
(0, 2, 1, 4, 3)

(0, 3, 2, 4, 1)
(0, 3, 1, 4, 2)

(0, 3, 2, 4, 1)
(0, 3, 2, 4, 1)

(0, 3, 2, 4, 1)
